title,author,poem
겨울 바닷가 / 류인순,류인순,"겨울 동해 바닷가
찬바람이 날 세워 
훅 찌르고 달아난다
 
그대와 거닐던
이 바닷가 파도
오늘 유독 쓸쓸하다
 
잠시의 시간 어느새 
수많은 결로 흘러
그댈 아득히 잊은 줄 알았는데
 
한 발 두 발 걷다 보니 
가는 곳마다 
추억이 발길에 차인다.
 

 

 

 
."
어느날 그리움이었다고 생각했던  노래의 숲속  어느 것을 꺼내도 그대로,정세일,"어느날 그리움이었다고 생각했던
노래의 숲속
어느 것을 꺼내도 그대로 
아침의 옷이 아름답게 입혀지는
그 찬란함이란
가장   높은 곳을  버리고
낮아짐을 선택한 알 수 없는 그 운명
비워낸 오월의 숲과 아침에서  찾아낸
장미꽃의 겨울
그리고 하얀 눈이 내리는 풍경
싸락눈이 강물에게 보낸
마음하나  스케이트를 타고 
향기의  마음에도 
별들이 생각 속에 가까이  강물이 흘러오고  있습니다.
그리고 이내 순수의 늪이 깊어진
상념은 아무런 생각 없이
미끄러지듯이
알고 있는 푸른 풀잎들의  
지도위에 세미하고 정교한 별빛의 위치를  빛남이라고
당신의 메모지에 그려둡니다
그래서 아름다운 날에요
이렇게 첫눈이 자신을 알게 된
또 하나의 눈물과 기다림의 존재
당신의 마음에  넣어 
꿈과  심장과 생각을  눈사람으로  만들어
그리움에게 보내는
장미꽃의 고움과 빛남
첼로 속에 울린
깊은 가을만을 꺼낸  노래를 만들면
살며시 만져지는 
피아노의 봄날이 연주할 수 있도록
그리움의 시간에게 보여준
나뭇잎 무대가 있고
별과 바람을 초대한
의자가 있는 나무들의 두려움도 
진실 또한  애태움으로
당신에게만 허락되는  노래가 피는 순간을 기다립니다.
그래서 그리움은 
꽃이 되는 당신의 고유함을 이제 별이라고 말하게 됩니다."
매화,박동수,"아침에 아파트 건물 사이로
맑게 비추인 햇볕이
아무래도 
우수경칩이 지나간 어제를
기억하는지
겨울 빛을 숨기고
초봄의 기운을 담아 온 듯
하더니 뺨으로
스치는 바람이 시리지만
가슴엔 훈훈한 것을
느끼게 하는 것은
내가 봄을 기다리는 줄
아나보다"
할미꽃,박동수,"그저 봄이 어디로 오든지
춘 삼월이면
부터 시작해서
매화랑 모두
피어나는 것이 이치인데

부산하게 봄 소식을 
기다리는 마음은 
슬픔인지 그리움인지 
분간키는 어렵다 만
그래도 봄은 
저문 세월 끝에 서있는
내게도 기다려지는
계절인 것을"
풍경 ( 風 磬 ),신형식,"꽃향기 냄새가
풍경   앞에서 맑다
은은하다 못해 찬란하다
난 아직도 나를 몰라
바람에 흔들리고
나를 깨우는 그대 때문에
혼자 일어나
조용한 새벽을 준비한다"
홍매화 향기처럼,김덕성,"심술부리는 꽃샘추위
이따금 슬쩍 건드리는 훈풍
붉은 매화향기 날리며 지나는데
붉은 꽃망울이 주는 귀여움은
님의 솜씨 들어내누나

추위의 시련을 겪으면서도
강인함과 화려함을 들어내는 자태
품은 부드럽고 맑은 가슴에는
님의 사랑이 넘쳐흐르네

볼수록 깊이 빠져드는
볼수록 아름답고 신비로운 홍매화
님의 은혜와 사랑을 들어내며
환희의 봄을 찬양하누나

님의 영광을 들어내는
영영 불변하는 순결한 사랑의 꽃
그윽하고 향기로운 
님의 꽃향기로
당신에게서 풍겨나기를"
때로는 꽃들이 마음에 쉼표가  필요할 때  그림마다 그려지는 악보의 세미한 나약함도,정세일,"때로는 꽃들이 마음에 쉼표가 
필요할 때
그림마다 그려지는 악보의 세미한 나약함도
거친 숨소리에
두 바퀴를 가진 작은북과 큰북의 길
소낙비와 함께한
세미함을 가진 이슬비의 축에 걸어놓은
아침안개와 그리움이
나팔꽃의 보라색 아침으로 태엽을 감아
언덕이 있는 
노을의 창문의 곁에 놓아두면
당신의  시간이 
꽃들의 부산함을 털어낸
고요함의 기초가 된  가을날악보를  의자에 놓아둡니다.
그렇게 마음을 기대면
누구나 열어볼 수 있는 봄바람의 포근함
어머니의 품안에서
초록색 꿈을 꾸며 풀잎은 이내 잠들게 됩니다.
그래서 아름다운 날에요
피아노가 피우는 꽃의 이름
들 꽃 같은 붉은 생명력으로
그리움의 중심에 
변하지 않는 그 고유함의 신비로움을 나타낸
노래의 마음
그래서 천사처럼 다시 아름다움의 건너편과
때론 바람의 숨결로 
하나둘씩 접어지는
꽃들의 정렬과 반복되는 함수를 다시 만난
누구도 알 수 없는
오직 당신만이 어루만질 수 있는 고요함의 언덕이 있습니다.
바람과 별과 숲과 노래
보이지 않는
언덕에 있는 마음의 느낌
그리고 꽃들의 책과 연필로 써내려간
피아노와 꽃의 일부분
분홍색과 열정 
그리고 단 하나의 길에서 
꽃들의 마음으로  나의 별빛을 바라볼 때
아침 같은  이슬비가  내리고 있습니다."
아지랑이,문재학,"소산문 재학

 이글이글. 아롱아롱
따뜻한 양지에 피어오르는
신비로운 아지랑이에
화사한 봄빛이 녹아내리고

 잡을 수도 없는
현란하게 춤추는 열기로
동토의 창을 두드리며
세상 만물을 일깨워
소생의 꿈을 영글게 한다.

 감미로운 숨결에
매화랑 산수유 꽃들이
눈부신 꽃망울을 터트리며
봄꽃 향연의 서막을 열고
찬란한 봄을 재촉한다.

 삭막한 대지 위로
자욱한 봄기운이
아지랑이를 타고
환희로 넘쳐흐르면서"
그래서 순수만이 만져볼 수 있는 봄바람의 어깨 꽃잎의 형태를  만들 수 있는,정세일,"그래서 순수만이 만져볼 수 있는
봄바람의 어깨
꽃잎의 형태를  만들 수 있는 
소리를  가져와
노래의 커다란 동그라미 틀에 넣어두면
별들의 느낌과
별들의 안개
그리고 더하여 별빛의 고요함이
서로 균형을 이루도록
뚜렷한 마음을  다독거려 만들어야 하는 시간
그렇게  봄바람의 옷깃을 눈으로  만져봅니다
어머니의 숨결은
그래서 아름다운 날에요
노래의 의미로 봄바람의 생동감을
옷깃에 달고
산이 되어 서있는 그리움마다
눈물이 있는 외로움도
노란 울타리를  세우고 기다리고 
노을과 담장이 
어머니의 저녁하늘을 부르는 소리는 애닮 기만 합니다"
그래서 순수만이 만져볼 수 있는  봄바람의 어깨  꽃잎의 형태를 만들 수 있는,정세일,"그래서 순수만이 만져볼 수 있는
봄바람의 어깨
꽃잎의 형태를  만들 수 있는 
소리를  가져와
노래의 커다란 동그라미 틀에 넣어두면
별들의 느낌과
별들의 안개
그리고 더하여 별빛의 고요함이
서로 균형을 이루도록
뚜렷한 마음을  다독거려 만들어야 하는 시간
그렇게  봄바람의 옷깃을 눈으로  만져봅니다
어머니의 숨결은
그래서 아름다운 날에요
노래의 의미로 봄바람의 생동감을
옷깃에 달고
산이 되어 서있는 그리움마다
눈물이 있는 외로움도
노란 울타리를  세우고 기다리고 
노을과 담장이 
어머니의 저녁하늘을 부르는 소리는 애닮 기만 합니다"
너에게 쓰는 편지,송정숙,"오늘은 
종일 비가 내린다

빗방울 따라 
그리움이 흘러간다

언제쯤 
너의 곁에 머물 수 있으려나..."
